Assembly Accession,Assembly Name,Organism Name,Organism Infraspecific Names Strain,Assembly Level,Assembly Release Date,Assembly Stats Number of Scaffolds
GCA_001653565.1,ASM165356v1,Paenibacillus oryzisoli,1ZS3-15,Scaffold,2016-05-31,97
GCA_027922425.1,ASM2792242v1,Pseudonocardia halophobica,VKM Ac-1069,Scaffold,2023-01-19,312
GCA_002078015.1,ASM207801v1,Niastella populi,CCTCC AB 208238,Contig,2017-04-03,
GCA_004348445.1,ASM434844v1,Saccharopolyspora aridisoli,16K404,Contig,2019-03-13,
GCA_004022265.1,ASM402226v1,Sinirhodobacter ferrireducens,CCTCC AB 2012026,Contig,2019-01-14,
GCA_009695545.1,ASM969554v1,Victivallis lenta,BBE-744-WT-12,Contig,2019-11-22,
GCA_042684845.1,ASM4268484v1,Paenibacillus yanchengensis,KCTC 33926,Contig,2024-10-07,
GCA_003056405.1,ASM305640v1,Devosia indica,IO390501,Scaffold,2018-04-18,69
GCA_019249295.1,ASM1924929v1,Alteromonas antoniana,MD_567,Contig,2021-07-14,
GCA_028683095.1,ASM2868309v1,Enterovibrio gelatinilyticus,ZSDZ42,Contig,2023-02-17,
GCA_011813015.1,ASM1181301v1,Parasedimentitalea denitrificans,CY04,Scaffold,2020-03-31,87
GCA_030813355.1,ASM3081335v1,Metabacillus malikii,DSM 29005,Contig,2023-08-18,
GCA_001514215.1,ASM151421v1,Streptomyces bungoensis,DSM 41781,Scaffold,2016-01-13,73
GCA_029946465.1,ASM2994646v1,Polyangium sorediatum,DSM 14670,Contig,2023-05-03,
GCA_046365465.1,ASM4636546v1,Anaerococcus groningensis,ENR1011,Contig,2024-12-30,
GCA_003337565.1,ASM333756v1,Paracoccus lutimaris,CECT 8525,Scaffold,2018-07-24,92
GCA_024128855.1,ASM2412885v1,Rhodovulum tesquicola,A-36s,Contig,2022-07-03,
GCA_003574395.1,ASM357439v1,Tabrizicola thermarum,YIM 73036,Scaffold,2018-09-18,76
GCA_003097635.1,ASM309763v1,Flavobacterium psychrotolerans,RB1R5,Contig,2018-05-08,
GCA_900167125.1,IMG-taxon 2568526008 annotated assembly,Paucidesulfovibrio gracilis DSM 16080,DSM 16080,Contig,2017-03-04,
GCA_000952155.1,asmbly001,Aliterella atlantica CENA595,CENA595,Contig,2015-03-13,
GCA_031845745.1,ASM3184574v1,Streptomyces hintoniae,DSM 41014,Contig,2023-09-23,
GCA_019711685.1,ASM1971168v1,Helicobacter turcicus,Faydin-H70,Contig,2021-08-22,
GCA_000720475.1,ASM72047v1,Streptomyces aureocirculatus,NRRL ISP-5386,Contig,2014-07-02,
GCA_002812985.1,MDC2473,Aeromonas lusitana,MDC 2473,Scaffold,2017-11-16,66
GCA_021568875.1,ASM2156887v1,Dethiosulfovibrio marinus,DSM 12537,Scaffold,2022-01-24,41
GCA_900111555.1,IMG-taxon 2617270929 annotated assembly,Marinobacter segnicrescens,CGMCC 1.6489,Scaffold,2016-10-31,85
GCA_023283825.1,ASM2328382v1,Shewanella olleyana,LMG 21437,Contig,2022-05-09,
GCA_000718985.1,ASM71898v1,Streptomyces megasporus,NRRL B-16372,Contig,2014-07-02,
GCA_000412185.1,jl2009,Euryhalocaulis caribicus,JL2009,Contig,2013-06-18,
GCA_001050375.1,ASM105037v1,Catenovulum maritimum,Q1,Scaffold,2015-07-09,47
GCA_024623325.1,ASM2462332v1,Acetatifactor muris,DSM 23669,Contig,2022-08-10,
GCA_023717965.1,ASM2371796v1,Paractinoplanes hotanensis,TRM88002,Contig,2022-06-13,
GCA_039542605.1,ASM3954260v1,Streptomyces ziwulingensis,JCM 18081,Scaffold,2024-02-23,167
GCA_022487945.1,ASM2248794v1,Halomonas flagellata,EGI 63088,Scaffold,2022-03-05,163
GCA_002795405.1,ASM279540v1,Caviibacterium pharyngocola,7.3,Contig,2017-11-26,
GCA_009707995.1,ASM970799v1,Corynebacterium guaraldiae,13,Contig,2019-11-25,
GCA_014287545.1,ASM1428754v1,Parabacteroides segnis,BX2,Contig,2020-08-24,
GCA_005405065.1,ASM540506v1,Lactiplantibacillus nangangensis,381-7,Contig,2019-03-29,
GCA_007991735.1,ASM799173v1,Terrabacter aerolatus,NBRC 106305,Contig,2019-07-31,
GCA_014805525.1,ASM1480552v1,Rhabdothermincola sediminis,SYSU G02662,Contig,2020-09-30,
GCA_007954355.1,ASM795435v1,Colwellia hornerae,ACAM 607,Contig,2019-08-10,
GCA_039529495.1,ASM3952949v1,Actinomadura bangladeshensis,JCM 13933,Scaffold,2024-02-23,153
GCA_015999335.1,ASM1599933v1,Tabrizicola soli,CCTCC AB 2017177,Scaffold,2020-12-12,57
GCA_003710915.1,ASM371091v1,Brevibacillus invocatus,JCM 12215,Contig,2018-11-04,
GCA_027942795.1,ASM2794279v1,Bacteroides rhinocerotis,NGMCC 1.200684,Scaffold,2023-01-23,76
GCA_029968035.1,ASM2996803v1,Streptomyces cavernicola,B-S-A6,Contig,2023-05-10,
GCA_943590815.1,CPO20170097,Pseudocitrobacter vendiensis,CPO20170097T,Contig,2022-07-01,
GCA_003987655.1,ASM398765v1,Vagococcus acidifermentans,LMG 24798,Contig,2018-12-17,
GCA_003129565.1,ASM312956v1,Salibaculum griseiflavum,WDS4C29,Scaffold,2018-05-16,47
GCA_029087225.1,ASM2908722v1,Limnobacter olei,P1,Contig,2023-03-09,
GCA_003444685.1,ASM344468v1,Halopseudomonas gallaeciensis,V113,Scaffold,2018-09-04,18
GCA_004309355.1,ASM430935v1,Enterococcus florum,Gos25-1,Contig,2019-02-15,
GCA_001659685.2,ASM165968v2,Labilibacter marinus,Y11,Contig,2017-01-06,
GCA_001754075.1,ASM175407v1,Merdimonas faecis,BR31,Contig,2016-10-07,
GCA_022179085.1,ASM2217908v1,Methylobacterium aerolatum,DSM 19013,Contig,2022-01-08,
GCA_019351435.1,ASM1935143v1,Flavobacterium taihuense,NAS39,Scaffold,2021-07-26,73
GCA_039521805.1,ASM3952180v1,Oceanobacillus oncorhynchi subsp. oncorhynchi,JCM 12661,Contig,2024-02-23,
GCA_022321465.1,ASM2232146v1,Ruegeria alba,1NDH52C,Contig,2022-02-17,
GCA_039541515.1,ASM3954151v1,Variovorax defluvii,JCM 17804,Scaffold,2024-02-23,81
GCA_001571145.1,ASM157114v1,Hydrogenophaga flava NBRC 102514,NBRC 102514,Contig,2016-02-18,
GCA_008086615.1,ASM808661v1,Acetobacterium tundrae,DSM 9173,Contig,2019-08-26,
GCA_002104765.1,ASM210476v1,Mycolicibacterium vulneris,DSM 45247,Contig,2017-04-21,
GCA_030812885.1,ASM3081288v1,Moryella indoligenes,DSM 19659,Contig,2023-08-18,
GCA_006543045.1,ASM654304v1,Salinadaptatus halalkaliphilus,XQ-INN 246,Scaffold,2019-04-19,77
GCA_913566895.1,201901311,Listeria ilorinensis,,Contig,2022-02-17,
GCA_003977595.1,ASM397759v1,Lysinibacillus antri,SYSU K30002,Contig,2018-12-27,
GCA_016522505.1,ASM1652250v1,Leucobacter chromiisoli,CSA1,Contig,2021-01-05,
GCA_039541835.1,ASM3954183v1,Hymenobacter saemangeumensis,JCM 17923,Scaffold,2024-02-23,82
GCA_965139575.1,CIP111491T,Comamonas aquatilis,CIP111491T,Scaffold,2025-02-13,55
GCA_000687535.1,ASM68753v1,Helicobacter rodentium ATCC 700285,ATCC 700285,Contig,2014-04-08,
GCA_014284305.1,ASM1428430v1,Undibacterium seohonense,KACC 16656,Scaffold,2020-08-24,164
GCA_902150035.1,P9525,Enorma burkinafasonensis,Marseille-P9525,Scaffold,2019-07-03,48
GCA_016861565.1,ASM1686156v1,Secundilactobacillus yichangensis,F79-211-2,Contig,2021-01-15,
GCA_039525175.1,ASM3952517v1,Actinocorallia libanotica,JCM 10696,Scaffold,2024-02-23,134
GCA_009910675.1,ASM991067v1,Photobacterium alginatilyticum,P03D4,Contig,2020-01-21,
GCA_035320975.1,ASM3532097v1,Saccharopolyspora mangrovi,S2-29,Scaffold,2024-01-09,60
GCA_002234615.1,ASM223461v1,Paenibacillus rigui,JCM 16352,Contig,2017-07-27,
GCA_012524165.2,ASM1252416v2,Faecalicatena faecalis,AGMB00832,Contig,2021-06-15,
GCA_039540375.1,ASM3954037v1,Acidovorax lacteus,JCM 31890,Scaffold,2024-02-23,31
GCA_006539565.1,ASM653956v1,Pseudonocardia hydrocarbonoxydans,NBRC 14498,Contig,2019-06-12,
GCA_900188065.1,IMG-taxon 2724679803 annotated assembly,Halorubrum vacuolatum,DSM 8800,Contig,2017-07-16,
GCA_001675045.1,ASM167504v1,Paenibacillus oryzae,1DrF-4,Scaffold,2016-06-21,80
GCA_016055185.1,ASM1605518v1,Paenactinomyces guangxiensis,CICC 11033=CGMCC 4.7156,Contig,2020-12-15,
GCA_900609045.1,aTB-66,Filibacter tadaridae,,Scaffold,2018-11-18,85
GCA_012034245.1,ASM1203424v1,Micromonospora thermarum,HSS6-12,Contig,2020-04-05,
GCA_002149015.1,ASM214901v1,Gordonia lacunae,BS2,Contig,2017-05-18,
GCA_002858715.1,ASM285871v1,Chimaeribacter coloradensis,2016-Iso4,Contig,2018-01-03,
GCA_010119545.1,ASM1011954v1,Pontibacter fetidus,BT213,Contig,2020-02-03,
GCA_029953285.1,ASM2995328v1,Yinghuangia seranimata,CCTCC AA 206006,Contig,2023-05-07,
GCA_025567415.1,ASM2556741v1,Dorea ammoniilytica,Sanger_02,Scaffold,2022-10-04,39
GCA_900115005.1,IMG-taxon 2671180038 annotated assembly,Pseudonocardia ammonioxydans,CGMCC 4.1877,Scaffold,2016-11-05,167
GCA_042648745.1,ASM4264874v1,Paracoccus angustae,KCTC 42473,Scaffold,2024-10-05,134
GCA_039531305.1,ASM3953130v1,Terrabacter lapilli,JCM 15628,Scaffold,2024-02-23,17
GCA_010974945.1,ASM1097494v1,Noviherbaspirillum galbum,17J57-3,Contig,2020-02-23,
GCA_027921865.1,ASM2792186v1,Microbacterium imperiale,VKM Ac-1447,Scaffold,2023-01-19,17
GCA_003992065.1,ASM399206v1,Veillonella seminalis,ADV4313-2,Contig,2019-01-04,
GCA_046097595.1,ASM4609759v1,Peptococcus simiae,M108,Contig,2024-12-15,
GCA_039533535.1,ASM3953353v1,Streptomyces kunmingensis,JCM 7473,Scaffold,2024-02-23,86
GCA_900176465.1,IMG-taxon 2718217637 annotated assembly,Fulvimarina manganoxydans,CGMCC 1.10972,Contig,2017-04-08,
GCA_900113615.1,IMG-taxon 2617270873 annotated assembly,Halorubrum aquaticum,CGMCC 1.6377,Contig,2019-09-11,
GCA_017874575.1,ASM1787457v1,Lactobacillus colini,DSM 101872,Contig,2021-04-08,
GCA_900215515.1,IMG-taxon 2728369220 annotated assembly,Persephonella hydrogeniphila,DSM 15103,Contig,2017-09-28,
GCA_016623585.1,ASM1662358v1,Pedobacter segetis,SD-b,Contig,2021-01-05,
GCA_014201515.1,ASM1420151v1,Anoxybacillus mongoliensis,DSM 19169,Scaffold,2020-08-14,35
GCA_008124885.1,ASM812488v1,Sphingobacterium allocomposti,DSM 18850,Scaffold,2019-08-29,53
GCA_009696045.1,ASM969604v1,Velocimicrobium porci,WCA-693-APC-MOT-I,Contig,2019-11-22,
GCA_014646155.1,ASM1464615v1,Mangrovihabitans endophyticus,CGMCC 4.7299,Scaffold,2020-09-12,220
GCA_039543245.1,ASM3954324v1,Algibacter agarivorans,JCM 18285,Contig,2024-02-23,
GCA_020905375.1,ASM2090537v1,Arthrobacter cryoconiti,Cr6-08,Contig,2021-11-20,
GCA_002795245.1,ASM279524v1,Bradyrhizobium forestalis,INPA54B,Scaffold,2017-11-22,183
GCA_007997295.1,ASM799729v1,Gillisia hiemivivida,IC154,Contig,2019-08-14,
GCA_003996985.1,ASM399698v1,Ancylomarina longa,T3-2 S1-C,Contig,2019-01-07,
GCA_002843175.1,ASM284317v1,Confluentibacter flavum,3B,Scaffold,2017-12-14,57
GCA_041079535.1,ASM4107953v1,Comamonas guangdongensis,CCTCC AB2011133,Contig,2024-08-06,
GCA_002911695.1,ASM291169v1,Gracilimonas amylolytica,LA399,Scaffold,2018-02-02,40
GCA_014904745.1,ASM1490474v1,Oricola nitratireducens,NBU1457,Contig,2020-10-20,
GCA_005048225.1,ASM504822v1,Paracoccus gahaiensis,KCTC 42687,Contig,2019-05-02,
GCA_900114055.1,IMG-taxon 2675903228 annotated assembly,Thermoflavimicrobium dichotomicum,DSM 44778,Contig,2016-11-02,
GCA_002206635.1,ASM220663v1,Polynucleobacter aenigmaticus,MWH-K35W1,Contig,2017-06-23,
GCA_900129965.1,IMG-taxon 2585428070 annotated assembly,Clostridium grantii DSM 8605,DSM 8605,Scaffold,2016-12-03,87
GCA_903166575.1,P9602,Chryseobacterium schmidteae,Marseille-P9602,Contig,2020-06-05,
GCA_000380245.2,ASM38024v2,Bacillus massiliigorillae,G2,Scaffold,2013-10-02,12
GCA_017873675.1,ASM1787367v1,Virgibacillus litoralis,DSM 21085,Contig,2021-04-08,
GCA_004363315.1,ASM436331v1,Tepidicella xavieri,DSM 19605,Scaffold,2019-03-22,36
GCA_900115165.1,IMG-taxon 2622736530 annotated assembly,Roseovarius lutimaris,DSM 28463,Scaffold,2016-11-02,72
GCA_001700315.1,ASM170031v1,Caryophanon tenue,DSM 14152,Contig,2016-08-05,
GCA_900109225.1,IMG-taxon 2602042026 annotated assembly,Propionispira arboris,DSM 2179,Contig,2016-10-31,
GCA_019084545.1,ASM1908454v1,Marinobacterium ramblicola,D7,Scaffold,2021-06-30,65
GCA_900107215.1,IMG-taxon 2599185146 annotated assembly,Acetomicrobium thermoterrenum DSM 13490,DSM 13490,Scaffold,2016-10-22,22
GCA_904846715.1,ASM90484671v1,Psychrobacter vallis,,Contig,2020-11-21,
GCA_033659955.1,ASM3365995v1,Clostridium tanneri,A1-XYC3,Contig,2023-11-14,
GCA_001641085.1,ASM164108v1,Aequorivita soesokkakensis,RSSK-12,Contig,2016-05-09,
GCA_014197915.1,ASM1419791v1,Roseospira visakhapatnamensis,JA131,Scaffold,2020-08-14,99
GCA_010499455.1,ASM1049945v1,Ideonella livida,TBM-1,Contig,2020-02-12,
GCA_028416595.1,ASM2841659v1,Aquibacillus salsiterrae,3ASR75-54,Scaffold,2023-02-02,70
GCA_042433335.1,ASM4243333v1,Metabacillus herbersteinensis,CCM 7228,Scaffold,2024-09-28,113
GCA_000716805.1,ASM71680v1,Streptomyces yerevanensis,NRRL B-16943,Contig,2014-07-01,
GCA_025195085.2,ASM2519508v2,Vibrio intestinalis,YLB-11,Scaffold,2023-04-13,30
GCA_034653255.1,ASM3465325v1,Pseudomonas spirodelae,T5W1,Contig,2023-12-26,
GCA_004801405.1,ASM480140v1,Cohnella fermenti,CC-MHH1044,Contig,2019-04-20,
GCA_003318295.1,ASM331829v1,Bacillus taeanensis,BH030017,Contig,2018-07-14,
GCA_004363045.1,ASM436304v1,Aureibacillus halotolerans,DSM 28697,Scaffold,2019-03-22,43
GCA_037083865.1,ASM3708386v1,Klenkia terrae,JCM 17786,Contig,2024-03-09,
GCA_005434945.1,ASM543494v1,Prescottella subtropica,C9-28,Scaffold,2019-05-16,67
GCA_003148565.1,ASM314856v1,Tumebacillus permanentifrigoris,DSM 18773,Scaffold,2018-05-22,61
GCA_000559025.1,Luteimonas huabeiensis HB-2 Genome,Luteimonas huabeiensis HB2,HB2,Contig,2014-02-05,
GCA_004358185.1,ASM435818v1,Antarcticimicrobium luteum,318-1,Contig,2019-03-19,
GCA_023699475.1,ASM2369947v1,Halomarina rubra,ZS-47-S,Scaffold,2022-06-08,16
GCA_016861695.1,ASM1686169v1,Levilactobacillus andaensis,866-3,Contig,2021-01-15,
GCA_001642575.1,Xfloridensis_v1.0,Xanthomonas floridensis,WHRI 8848,Contig,2016-05-12,
GCA_003172915.1,ASM317291v1,Meridianimarinicoccus roseus,TG-679,Scaffold,2018-05-26,69
GCA_032380655.1,ASM3238065v1,Diplocloster hominis,CSJ-3,Contig,2023-10-04,
GCA_003946645.1,ASM394664v1,Lapidilactobacillus wuchangensis,17-4,Contig,2018-12-14,
GCA_014652555.1,ASM1465255v1,Novosphingobium colocasiae,KCTC 32255,Scaffold,2020-09-12,72
GCA_900167465.1,IMG-taxon 2585428117 annotated assembly,Trichlorobacter thiogenes,ATCC BAA-34,Scaffold,2017-03-04,42
GCA_014636215.1,ASM1463621v1,Agarivorans gilvus,CGMCC 1.10131,Contig,2020-09-12,
GCA_020329485.1,ASM2032948v1,Bradyrhizobium cenepequi,CNPSo 4026,Contig,2021-10-06,
GCA_028745735.1,ASM2874573v1,Roseinatronobacter alkalisoli,HJB301,Scaffold,2023-02-20,130
GCA_001038425.2,ASM103842v2,Ornithinibacillus contaminans,DSM 22953,Contig,2015-08-25,
GCA_018835585.1,ASM1883558v1,Pelorhabdus rhamnosifermentans,BoRhaA,Scaffold,2021-06-10,214
GCA_002834145.1,ASM283414v1,Roseovarius salinarum,N53,Scaffold,2017-12-12,59
GCA_900110215.1,IMG-taxon 2654588107 annotated assembly,Halorientalis persicus,IBRC-M 10043,Scaffold,2016-10-31,121
GCA_001293565.1,ASM129356v1,Ahrensia marina,LZD062,Contig,2015-09-18,
GCA_014651115.1,ASM1465111v1,Streptomyces inusitatus,JCM 4988,Scaffold,2020-09-12,108
GCA_025490915.1,ASM2549091v1,Lacticaseibacillus parakribbianus,YH-lacS6,Scaffold,2022-09-29,32
GCA_002811245.1,ASM281124v1,Vibrio salilacus,DSG-S6,Contig,2017-12-05,
GCA_011059105.1,ASM1105910v1,Fodinibius halophilus,2W32,Contig,2020-03-03,
GCA_020686995.1,ASM2068699v1,Blautia fusiformis,CLA-AA-H275,Contig,2021-10-31,
GCA_026183895.1,ASM2618389v1,Sabulicella glaciei,MDT2-1-1,Scaffold,2022-11-14,59
GCA_039545115.1,ASM3954511v1,Microbulbifer aestuariivivens,NBRC 112533,Contig,2024-03-26,
GCA_902859945.1,LMG 28688,Paraburkholderia caffeinitolerans,LMG 28688,Contig,2020-05-07,
GCA_003602095.1,ASM360209v1,Rahnella woolbedingensis,DSM 27399,Contig,2018-10-01,
GCA_003946545.1,ASM394654v1,Levilactobacillus tangyuanensis,137-3,Contig,2018-12-14,
GCA_023283945.1,ASM2328394v1,Shewanella gelidimarina,ATCC 700752,Contig,2022-05-09,
GCA_033253735.1,ASM3325373v1,Sporosarcina saromensis,KCTC13119,Scaffold,2023-11-02,49
GCA_042676005.1,ASM4267600v1,Tenacibaculum geojense,CCUG 60527,Scaffold,2024-10-06,74
GCA_026168575.1,ASM2616857v1,Acinetobacter entericus,BIT-DXN8,Scaffold,2022-11-14,159
GCA_014201505.1,ASM1420150v1,Desulfoprunum benzoelyticum,DSM 28570,Scaffold,2020-08-14,51
GCA_000412635.1,Sphingobium sp. strain YL23,Sphingobium bisphenolivorans,YL23,Contig,2013-06-20,
GCA_001418025.1,ASM141802v1,Anoxybacillus suryakundensis,DSM 27374,Scaffold,2015-10-28,41
GCA_039536565.1,ASM3953656v1,Microbacterium marinilacus,JCM 16546,Scaffold,2024-02-23,26
GCA_000691805.2,ASM69180v2,Weissella oryzae SG25,SG25,Scaffold,2014-06-10,70
GCA_017592555.1,ASM1759255v1,Actinoplanes flavus,NEAU-H7,Scaffold,2021-03-27,96
GCA_900188445.1,IMG-taxon 2700988714 annotated assembly,Actinomadura meyerae,DSM 44715,Scaffold,2017-07-16,121
GCA_900110465.1,IMG-taxon 2617270928 annotated assembly,Halogranum amylolyticum,CGMCC 1.10121,Scaffold,2016-11-17,61
GCA_004684875.1,ASM468487v1,Staphylococcus croceilyticus,CCM 8421,Scaffold,2019-04-07,57
GCA_026013545.1,ASM2601354v1,Defluviimonas salinarum,CAU 1641,Scaffold,2022-11-05,88
GCA_026262595.1,ASM2626259v1,Gordonia aquimaris,SW21,Contig,2022-11-21,
GCA_013266765.1,ASM1326676v1,Paenibacillus frigoriresistens,LMG 31322,Scaffold,2020-06-03,152
GCA_039533385.1,ASM3953338v1,Streptomyces graminearus,JCM 6923,Scaffold,2024-02-23,65
GCA_028401405.1,ASM2840140v1,Streptomyces heilongjiangensis,NEAU-W2,Contig,2023-02-01,
GCA_018224925.1,ASM1822492v1,Magnetospirillum sulfuroxidans,J10,Scaffold,2021-05-02,60
GCA_009601015.1,ASM960101v1,Lactococcus hircilactis,DSM 28960,Scaffold,2019-11-05,49
GCA_003259195.1,ASM325919v1,Paracoccus sediminilitoris,DSL-16,Contig,2018-06-21,
GCA_022213065.1,ASM2221306v1,Paraburkholderia tagetis,RG36,Scaffold,2022-02-12,119
GCA_003337415.1,ASM333741v1,Anaerobacterium chartisolvens,DSM 27016,Scaffold,2018-07-24,85
GCA_028617075.1,ASM2861707v1,Rubrobacter calidifluminis,RG-1,Contig,2023-02-13,
GCA_927798095.1,CIP111893,Paenibacillus plantiphilus,CIP 111893,Scaffold,2022-01-24,92
GCA_008086185.1,ASM808618v1,Bizionia gelidisalsuginis,IC164,Contig,2019-08-25,
GCA_002925845.1,ASM292584v1,Roseovarius nitratireducens,TFZ,Scaffold,2018-02-12,90
GCA_009765355.1,ASM976535v1,Amycolatopsis anabasis,EGI 650086,Scaffold,2019-12-18,191
GCA_002441655.1,ASM244165v1,Lactococcus fujiensis JCM 16395,JCM 16395,Contig,2017-10-04,
GCA_019331675.1,ASM1933167v1,Bifidobacterium miconisargentati,82T25,Contig,2021-07-23,
GCA_004358695.1,ASM435869v1,Palleronia sediminis,SS33,Contig,2019-03-20,
GCA_014596085.1,ASM1459608v1,Azospirillum tabaci,W712,Contig,2020-09-15,
GCA_017874695.1,ASM1787469v1,Halarchaeum solikamskense,DSM 26612,Contig,2021-04-08,
GCA_009827435.1,ASM982743v1,Croceibacterium salegens,MCCC 1K01500,Scaffold,2020-01-02,63
GCA_026242035.1,ASM2624203v1,Mycobacterium pinniadriaticum,CVI_P3,Contig,2022-11-20,
GCA_001440545.1,ASM144054v1,Caloramator mitchellensis,VF08,Contig,2015-11-06,
GCA_943193205.1,Alistipes_sp_nov_DSM112343,Alistipes muris,DSM 112343,Contig,2022-06-10,
GCA_024808875.1,ASM2480887v1,Methylohalomonas lacus,HMT 1,Contig,2022-08-31,
GCA_012927345.1,ASM1292734v1,Paraburkholderia polaris,RP-4-7,Contig,2020-04-28,
GCA_001721295.1,ASM172129v1,Sphingomonas turrisvirgatae,MCT13,Contig,2016-09-07,
GCA_016586355.1,ASM1658635v1,Anaerostipes butyraticus,JCM 17466,Contig,2020-12-21,
GCA_943193215.1,Acetatifactor_sp_nov_DSM110981,Acetatifactor aquisgranensis,DSM 110981,Contig,2022-06-10,
GCA_039526385.1,ASM3952638v1,Luteococcus peritonei,JCM 11685,Scaffold,2024-02-23,44
GCA_004122115.1,ASM412211v1,Sphingobium fluviale,CHR27,Contig,2019-01-30,
GCA_000613845.1,ASM61384v1,Asaia astilbis JCM 15831,JCM 15831,Contig,2014-03-31,
GCA_014705615.1,ASM1470561v1,Paenibacillus oceani,IB182363,Contig,2020-09-22,
GCA_003311635.1,ASM331163v1,Novacetimonas cocois,WE7,Scaffold,2018-07-10,75
GCA_039534145.1,ASM3953414v1,Streptomyces labedae,JCM 9381,Scaffold,2024-02-23,132
GCA_016428595.1,ASM1642859v1,Snuella sedimenti,CAU 1569,Scaffold,2020-12-28,57
GCA_900100785.1,IMG-taxon 2675903225 annotated assembly,Desulfosporosinus hippei DSM 8344,DSM 8344,Scaffold,2016-10-21,73
GCA_042650585.1,ASM4265058v1,Actinoplanes subglobosus,TBRC 5832,Scaffold,2024-10-05,51
GCA_022601685.1,ASM2260168v1,Acinetobacter sedimenti,A3.8,Scaffold,2022-03-16,27
GCA_020782115.1,ASM2078211v1,Leeuwenhoekiella parthenopeia,Mr9,Contig,2021-11-06,
GCA_004332295.1,ASM433229v1,Alloscardovia theropitheci,GLDI4/2,Scaffold,2019-03-07,27
GCA_001570405.1,ASM157040v1,Microtetraspora niveoalba,NBRC 15239,Scaffold,2016-01-16,98
GCA_003208175.1,ASM320817v1,Ruminiclostridium sufflavum DSM 19573,DSM 19573,Scaffold,2018-06-12,57
GCA_014502795.1,ASM1450279v1,Heliobacterium chlorum,DSM 3682,Contig,2020-09-09,
GCA_023283885.1,ASM2328388v1,Shewanella basaltis,KCTC 22121,Contig,2022-05-09,
GCA_004001045.1,ASM400104v1,Paenibacillus chibensis,NBRC 15958,Contig,2018-12-29,
GCA_029846675.1,ASM2984667v1,Streptomyces chitinivorans,RC1832,Contig,2023-04-19,
GCA_003970355.1,ASM397035v1,Flavobacterium bomense,RB1N8,Scaffold,2018-12-24,309
GCA_002850745.1,ASM285074v1,Nonomuraea indica,DRQ-2,Scaffold,2018-01-02,59
GCA_014333425.1,ASM1433342v1,Zhenpiania hominis,BX12,Contig,2020-08-29,
GCA_016862375.1,ASM1686237v1,Paractinoplanes rishiriensis,NBRC 108556,Contig,2021-01-29,
GCA_040545475.1,ASM4054547v1,Peptoniphilus olsenii,DSM 21460,Contig,2024-07-08,
GCA_000439375.1,06-3099_v1,Tatumella saanichensis,NML 06-3099,Contig,2013-07-23,
GCA_014885015.1,ASM1488501v1,Spirabiliibacterium falconis,NCTC 11878,Contig,2020-10-13,
GCA_014648155.1,ASM1464815v1,Deinococcus knuensis,JCM 31406,Contig,2020-09-12,
GCA_015244565.1,ASM1524456v1,Gluconobacter vitians,LMG 31484,Contig,2020-11-05,
GCA_003219815.1,ASM321981v1,Arthrobacter livingstonensis,LI2,Scaffold,2018-06-12,116
GCA_904842695.1,401352-18,Gulosibacter hominis,401352-2018,Contig,2020-11-01,
GCA_014384705.1,ASM1438470v1,Yeguia hominis,NSJ-40,Contig,2020-09-01,
GCA_006152115.1,ASM615211v1,Rubellimicrobium rubrum,YIM 131921,Contig,2019-06-09,
GCA_031470965.1,ASM3147096v1,Nesterenkonia aerolata,LY-0111,Scaffold,2023-09-14,55
GCA_024171865.1,ASM2417186v1,Prauserella aidingensis,DSM 45266,Scaffold,2022-07-06,80
GCA_000695795.1,ASM69579v1,Flavobacterium seoulense,EM1321,Contig,2014-05-27,
GCA_039536245.1,ASM3953624v1,Cryptosporangium minutisporangium,JCM 9458,Scaffold,2024-02-23,153
GCA_023061185.1,ASM2306118v1,Chromohalobacter beijerinckii,DSM 7218,Contig,2022-04-19,
GCA_019331725.1,ASM1933172v1,Bifidobacterium saguinibicoloris,79T10,Contig,2021-07-23,
GCA_034661195.1,ASM3466119v1,Providencia xianensis,23021821,Contig,2023-12-26,
GCA_900109185.1,IMG-taxon 2617270904 annotated assembly,Deinococcus reticulitermitis,CGMCC 1.10218,Scaffold,2016-10-31,58
GCA_001885765.1,ASM188576v1,Enterococcus aquimarinus,DSM 17690,Contig,2016-11-25,
GCA_900142995.1,IMG-taxon 2599185231 annotated assembly,Caldanaerovirga acetigignens,DSM 18802,Scaffold,2016-12-03,36
GCA_008123425.1,ASM812342v1,Bradyrhizobium rifense,CTAW71,Scaffold,2019-08-28,140
GCA_003260265.1,ASM326026v1,Roseovarius amoyensis,GCL-8,Contig,2018-06-22,
GCA_020884795.1,ASM2088479v1,Micromonospora okii,TP-A0468,Scaffold,2021-10-26,36
GCA_000956535.1,ASM95653v1,Microbacterium ginsengisoli,DSM 18659,Contig,2015-03-19,
GCA_017837635.1,ASM1783763v1,Frateuria flava,MAH-13,Scaffold,2021-04-07,40
GCA_900182695.1,IMG-taxon 2724679710 annotated assembly,Paracoccus laeviglucosivorans,DSM 100094,Contig,2019-07-12,
GCA_014202905.1,ASM1420290v1,Chitinivorax tropicus,DSM 27165,Scaffold,2020-08-14,91
GCA_900112455.1,IMG-taxon 2616644818 annotated assembly,Alkalibacterium subtropicum,DSM 23664,Scaffold,2016-11-02,33
GCA_022968795.1,ASM2296879v1,Desulfatitalea alkaliphila,M08but,Contig,2022-04-13,
